cell_type,ESCC001N,ESCC001T1,ESCC001T2,ESCC001T3,ESCC001T4,ESCC001T5,ESCC002N,ESCC002T1,ESCC002T2,ESCC002T3,ESCC002T4,ESCC002T5,ESCC004N,ESCC004T1,ESCC004T2,ESCC004T4,ESCC004T5,ESCC005N,ESCC005T1,ESCC005T2,ESCC005T3,ESCC005T4,ESCC005T5,ESCC006N,ESCC006T2,ESCC006T3,ESCC006T4,ESCC006T5,ESCC007L1,ESCC007L2,ESCC007L3,ESCC007N,ESCC007T1,ESCC007T2,ESCC007T3,ESCC007T4,ESCC007T5,ESCC008N,ESCC008T1,ESCC008T2,ESCC008T3,ESCC008T4,ESCC008T5,ESCC009L2,ESCC009N,ESCC009T1,ESCC009T2,ESCC009T3,ESCC009T4,ESCC009T5,ESCC010N,ESCC010T1,ESCC010T2,ESCC010T3,ESCC010T4,ESCC011N,ESCC011T1,ESCC011T2,ESCC011T4,ESCC011T5,ESCC012L1,ESCC012L2,ESCC012N,ESCC012T1,ESCC012T2,ESCC012T3,ESCC012T5,ESCC014N,ESCC014T1,ESCC014T3,ESCC014T4,ESCC014T5,ESCC015N,ESCC015T1,ESCC015T2,ESCC015T3,ESCC015T4,ESCC015T5,ESCC016N,ESCC016T1,ESCC016T2,ESCC016T3,ESCC016T4,ESCC016T5,ESCC018N,ESCC018T2,ESCC018T4,ESCC018T5,ESCC019L2,ESCC019N,ESCC019T1,ESCC019T2,ESCC019T3,ESCC019T4,ESCC019T5,ESCC021N,ESCC021T1,ESCC021T2,ESCC021T3,ESCC021T4,ESCC022L1,ESCC022N,ESCC022T1,ESCC022T3,ESCC022T5,ESCC023N,ESCC023T1,ESCC023T2,ESCC023T3,ESCC023T4,ESCC023T5,ESCC024N,ESCC024T1,ESCC024T4,ESCC024T5,ESCC025N,ESCC025T2,ESCC025T3,ESCC025T4,ESCC025T5,ESCC026N,ESCC026T1,ESCC026T3,ESCC026T5,ESCC027N,ESCC027T2,ESCC027T3,ESCC027T4,ESCC027T5,ESCC028N,ESCC028T1,ESCC028T3,ESCC028T5,ESCC029N,ESCC029T2,ESCC029T3,ESCC029T4,ESCC029T5,ESCC030N,ESCC030T1,ESCC030T3,ESCC031N,ESCC031T1,ESCC031T3,ESCC031T4,ESCC031T5,ESCC032N,ESCC032T1,ESCC032T3,ESCC032T4,ESCC033N,ESCC033T1,ESCC033T2,ESCC033T3,ESCC033T5,ESCC034N,ESCC034T1,ESCC034T2,ESCC034T3,ESCC034T4,ESCC034T5,ESCC035L1,ESCC035N,ESCC035T1,ESCC035T2,ESCC035T3,ESCC035T5,ESCC036L1,ESCC036L2,ESCC036L3,ESCC036N,ESCC036T1,ESCC036T2,ESCC036T4,ESCC036T5,ESCC037N,ESCC037T1,ESCC037T2,ESCC037T4,ESCC037T5,ESCC038N,ESCC038T2,ESCC038T3,ESCC038T4,ESCC038T5,ESCC039N,ESCC039T1,ESCC039T2,ESCC039T4,ESCC039T5,ESCC042N,ESCC042T1,ESCC042T2,ESCC042T3,ESCC042T4,ESCC042T5,ESCC043N,ESCC043T2,ESCC043T3,ESCC043T4,ESCC043T5,ESCC044N,ESCC044T3,ESCC044T4,ESCC044T5,ESCC045N,ESCC045T1,ESCC045T2,ESCC045T3,ESCC045T4,ESCC045T5,ESCC046N,ESCC046T1,ESCC046T2,ESCC046T3,ESCC046T4,ESCC046T5,ESCC047N,ESCC047T1,ESCC047T2,ESCC047T3,ESCC047T4,ESCC047T5,ESCC048N,ESCC048T1,ESCC048T2,ESCC048T3,ESCC048T4,ESCC048T5,ESCC049N,ESCC049T1,ESCC049T2,ESCC049T3,ESCC049T4,ESCC049T5,ESCC050N,ESCC050T1,ESCC050T2,ESCC050T3,ESCC050T4,ESCC050T5,ESCC051N,ESCC051T1,ESCC051T2,ESCC051T3,ESCC051T4,ESCC051T5,ESCC052N,ESCC052T1,ESCC052T2,ESCC052T3,ESCC052T4,ESCC052T5,ESCC053N,ESCC053T1,ESCC053T2,ESCC053T3,ESCC053T4,ESCC053T5,ESCC054N,ESCC054T1,ESCC054T2,ESCC054T3,ESCC054T4,ESCC054T5,ESCC055L1,ESCC055N,ESCC055T1,ESCC055T2,ESCC055T3,ESCC055T4,ESCC055T5,ESCC056L1,ESCC056N,ESCC056T1,ESCC056T2,ESCC056T3,ESCC056T4,ESCC056T5,ESCC057N,ESCC057T1,ESCC057T2,ESCC057T3,ESCC057T4,ESCC057T5,ESCC058N,ESCC058T1,ESCC058T2,ESCC058T3,ESCC058T4,ESCC058T5,ESCC059N,ESCC059T1,ESCC059T2,ESCC059T3,ESCC059T4,ESCC059T5,ESCC060N,ESCC060T1,ESCC060T2,ESCC060T3,ESCC060T4,ESCC060T5,ESCC061L1,ESCC061L2,ESCC061N,ESCC061T1,ESCC061T2,ESCC061T3,ESCC061T4,ESCC061T5,ESCC062N,ESCC062T1,ESCC062T2,ESCC062T3,ESCC062T4,ESCC062T5,ESCC063L2,ESCC063N,ESCC063T1,ESCC063T2,ESCC063T3,ESCC063T4,ESCC063T5,ESCC064L2,ESCC064N,ESCC064T1,ESCC064T2,ESCC064T3,ESCC064T4,ESCC064T5,ESCC065N,ESCC065T1,ESCC065T2,ESCC065T3,ESCC065T4,ESCC065T5,ESCC066L2,ESCC066L4,ESCC066N,ESCC066T1,ESCC066T2,ESCC066T3,ESCC066T4,ESCC066T5,ESCC067N,ESCC067T1,ESCC067T2,ESCC067T3,ESCC067T4,ESCC067T5,ESCC068N,ESCC068T1,ESCC068T2,ESCC068T3,ESCC068T4,ESCC068T5,ESCC069L2,ESCC069L3,ESCC069L4,ESCC069N,ESCC069T1,ESCC069T2,ESCC069T3,ESCC069T4,ESCC069T5,ESCC070N,ESCC070T1,ESCC070T2,ESCC070T3,ESCC070T4,ESCC070T5,ESCC071N,ESCC071T1,ESCC071T2,ESCC071T3,ESCC071T4,ESCC071T5,ESCC072L1,ESCC072N,ESCC072T1,ESCC072T2,ESCC072T3,ESCC072T4,ESCC072T5,ESCC073L1,ESCC073N,ESCC073T1,ESCC073T2,ESCC073T3,ESCC073T4,ESCC073T5,ESCC074L1,ESCC074L2,ESCC074L3,ESCC074N,ESCC074T1,ESCC074T2,ESCC074T3,ESCC074T4,ESCC074T5,ESCC075N,ESCC075T1,ESCC075T2,ESCC075T3,ESCC075T4,ESCC075T5,ESCC076N,ESCC076T1,ESCC076T2,ESCC076T3,ESCC076T4,ESCC076T5,ESCC077N,ESCC077T1,ESCC077T2,ESCC077T3,ESCC077T4,ESCC077T5,ESCC078N,ESCC078T1,ESCC078T2,ESCC078T3,ESCC078T4,ESCC078T5,ESCC079N,ESCC079T1,ESCC079T2,ESCC079T3,ESCC079T4,ESCC079T5,ESCC080N,ESCC080T1,ESCC080T2,ESCC080T3,ESCC080T4,ESCC080T5,ESCC081N,ESCC081T1,ESCC081T2,ESCC081T3,ESCC081T4,ESCC081T5,ESCC082L1,ESCC082N,ESCC082T1,ESCC082T2,ESCC082T3,ESCC082T4,ESCC082T5,ESCC083N,ESCC083T1,ESCC083T2,ESCC083T3,ESCC083T4,ESCC083T5,ESCC084N,ESCC084T1,ESCC084T2,ESCC084T3,ESCC084T4,ESCC084T5,ESCC085L1,ESCC085L2,ESCC085L3,ESCC085L4,ESCC085N,ESCC085T1,ESCC085T2,ESCC085T3,ESCC085T4,ESCC085T5,ESCC086N,ESCC086T1,ESCC086T2,ESCC086T3,ESCC086T4,ESCC086T5,ESCC087N,ESCC087T1,ESCC087T2,ESCC087T3,ESCC087T4,ESCC087T5,ESCC088N,ESCC088T1,ESCC088T2,ESCC088T3,ESCC088T4,ESCC088T5,ESCC089L1,ESCC089N,ESCC089T1,ESCC089T2,ESCC089T3,ESCC089T4,ESCC089T5,ESCC090N,ESCC090T1,ESCC090T2,ESCC090T3,ESCC090T4,ESCC090T5,ESCC091L1,ESCC091N,ESCC091T1,ESCC091T2,ESCC091T3,ESCC091T4,ESCC091T5,ESCC092N,ESCC092T1,ESCC092T2,ESCC092T3,ESCC092T4,ESCC092T5,ESCC093N,ESCC093T1,ESCC093T2,ESCC093T3,ESCC093T4,ESCC093T5,ESCC094N,ESCC094T1,ESCC094T2,ESCC094T3,ESCC094T4,ESCC094T5,ESCC095L1,ESCC095N,ESCC095T1,ESCC095T2,ESCC095T3,ESCC095T4,ESCC095T5,ESCC096L1,ESCC096L2,ESCC096L3,ESCC096L4,ESCC096N,ESCC096T1,ESCC096T2,ESCC096T3,ESCC096T4,ESCC096T5,ESCC097N,ESCC097T1,ESCC097T2,ESCC097T3,ESCC097T4,ESCC098L1,ESCC098N,ESCC098T1,ESCC098T2,ESCC098T3,ESCC098T4,ESCC098T5,ESCC099N,ESCC099T1,ESCC099T2,ESCC099T3,ESCC099T4,ESCC099T5,ESCC100N,ESCC100T1,ESCC100T2,ESCC100T3,ESCC100T4,ESCC100T5,ESCC101N,ESCC101T1,ESCC101T2,ESCC101T3,ESCC101T4,ESCC101T5,ESCC102L1,ESCC102L2,ESCC102L3,ESCC102N,ESCC102T1,ESCC102T2,ESCC102T3,ESCC102T4,ESCC102T5,ESCC103N,ESCC103T1,ESCC103T2,ESCC103T3,ESCC103T4,ESCC103T5,ESCC104N,ESCC104T1,ESCC104T2,ESCC104T3,ESCC104T4,ESCC104T5,ESCC105N,ESCC105T1,ESCC105T2,ESCC105T3,ESCC105T4,ESCC105T5,ESCC106N,ESCC106T1,ESCC106T2,ESCC106T3,ESCC106T4,ESCC106T5,ESCC107L1,ESCC107L2,ESCC107L3,ESCC107N,ESCC107T1,ESCC107T2,ESCC107T3,ESCC107T4,ESCC107T5,ESCC108L2,ESCC108N,ESCC108T1,ESCC108T2,ESCC108T3,ESCC108T4,ESCC108T5,ESCC109N,ESCC109T1,ESCC109T2,ESCC109T3,ESCC109T4,ESCC109T5,ESCC110N,ESCC110T1,ESCC110T2,ESCC110T3,ESCC110T4,ESCC110T5,ESCC111N,ESCC111T1,ESCC111T2,ESCC111T3,ESCC111T4,ESCC111T5,ESCC112N,ESCC112T1,ESCC112T2,ESCC112T3,ESCC112T4,ESCC112T5,ESCC113N,ESCC113T1,ESCC113T2,ESCC113T3,ESCC113T4,ESCC113T5
T cell,88.3206666666667,3.14666666666667,2.57333333333333,4.29133333333333,2.798,2.872,1.594,6.976,3.758,3.018,3.43733333333333,2.004,1.5,3.894,3.36333333333333,30.756,6.978,9.12866666666667,12.9133333333333,15.992,6.77733333333333,10.6333333333333,3.358,15.7766666666667,3.70066666666667,10.97,8.93533333333333,4.51666666666667,7.586,5.658,12.2753333333333,24.822,14.936,10.2106666666667,8.88466666666667,5.59133333333333,5.008,60.5526666666667,7.56866666666667,31.8686666666667,2.13666666666667,3.81133333333333,4.14866666666667,6.674,38.95,17.4366666666667,28.69,15.9773333333333,5.81066666666667,11.3793333333333,57.2053333333333,2.118,3.26733333333333,1.578,1.75066666666667,34.4286666666667,3.62066666666667,31.0746666666667,19.2926666666667,3.52133333333333,14.4,13.4353333333333,8.76066666666667,9.49,11.174,12.47,12.7393333333333,1.30933333333333,7.15666666666667,4.35333333333333,14.38,2.68266666666667,28.408,15.92,15.376,14.388,10.0786666666667,12.2893333333333,60.3053333333333,3.83533333333333,3.44466666666667,14.0113333333333,1.628,1.13666666666667,54.688,8.67866666666667,11.9993333333333,19.3266666666667,16.0953333333333,2.106,7.164,4.646,3.77466666666667,4.118,5.31466666666667,8.87466666666667,3.896,1.65866666666667,2.79133333333333,7.1,27.6673333333333,24.48,9.91533333333333,7.81933333333333,7.13733333333333,21.9233333333333,26.776,16.0786666666667,13.5006666666667,12.6673333333333,10.9693333333333,82.4053333333333,3.58666666666667,1.82866666666667,2.212,3.918,8.61266666666667,6.136,3.61533333333333,12.9153333333333,1.39933333333333,9.11533333333333,9.31266666666667,6.80266666666667,12.458,11.426,7.156,8.75066666666667,7.344,17.0353333333333,3.92133333333333,54.268,3.56,79.4606666666667,8.91066666666667,7.958,6.21266666666667,2.78933333333333,2.40533333333333,3.82733333333333,3.542,75.7553333333333,3.56066666666667,13.0206666666667,8.368,2.592,126.411333333333,1.20466666666667,2.44266666666667,33.968,84.3293333333333,2.50533333333333,2.41933333333333,2.99266666666667,2.528,2.82933333333333,7.17533333333333,4.628,5.94333333333333,8.34066666666667,4.87133333333333,12.2313333333333,5.74533333333333,45.1686666666667,5.01333333333333,3.97466666666667,8.04333333333333,7.79266666666667,7.404,7.60933333333333,20.5993333333333,2.04866666666667,2.47066666666667,7.322,4.97666666666667,18.66,6.70333333333333,4.18,11.4393333333333,4.926,54.0833333333333,17.7686666666667,2.09333333333333,10.4626666666667,3.39,2.35066666666667,23.9926666666667,22.0373333333333,4.84933333333333,3.38066666666667,53.2273333333333,24.7206666666667,16.8506666666667,26.5793333333333,15.2173333333333,11.4433333333333,57.842,88.6086666666667,1.90533333333333,61.0666666666667,1.944,1.68466666666667,4.15866666666667,1.99733333333333,2.806,67.1213333333333,7.84666666666667,7.62266666666667,21.942,29.5406666666667,12.314,7.15733333333333,10.3793333333333,3.77666666666667,8.754,8.95733333333333,4.91666666666667,54.9933333333333,3.808,2.58866666666667,1.908,3.09666666666667,2.698,35.19,3.49733333333333,3.25333333333333,41.5766666666667,44.6533333333333,3.014,67.6313333333333,3.85066666666667,31.2,7.62133333333333,4.74866666666667,4.978,13.0093333333333,4.70533333333333,13.8513333333333,14.1366666666667,10.3326666666667,8.144,102.38,3.732,4.80933333333333,3.03,3.998,3.08466666666667,54.426,74.1486666666667,3.024,46.5893333333333,56.3953333333333,53.252,52.156,6.192,3.32933333333333,17.7226666666667,5.738,2.91466666666667,64.3933333333333,1.304,4.18733333333333,2.52,4.44266666666667,2.79666666666667,15.5093333333333,52.6986666666667,5.01,6.22533333333333,7.022,6.79133333333333,5.02733333333333,5.82466666666667,46.8233333333333,3.70466666666667,3.00733333333333,10.648,2.94533333333333,2.29533333333333,62.1226666666667,28.6493333333333,11.7446666666667,7.4,4.69466666666667,22.0673333333333,11.046,4.72733333333333,56.7413333333333,2.22133333333333,4.23533333333333,1.83,56.6986666666667,4.72666666666667,14.9053333333333,1.86866666666667,2.304,2.54466666666667,35.4066666666667,2.86733333333333,4.302,3.80666666666667,4.372,5.36866666666667,15.73,37.15,1.312,25.9533333333333,13.3906666666667,22.4706666666667,23.2233333333333,13.706,60.906,1.644,2.62666666666667,3.274,4.41266666666667,1.818,39.1413333333333,72.4953333333333,7.14,6.66666666666667,7.996,4.23333333333333,7.87,13.17,34.4326666666667,1.82866666666667,4.40333333333333,4.796,6.57333333333333,1.86466666666667,28.9586666666667,8.32733333333333,14.7793333333333,1.38533333333333,23.37,3.30466666666667,9.384,51.8026666666667,55.9553333333333,3.14933333333333,5.10333333333333,4.09133333333333,5.23866666666667,2.78333333333333,70.6566666666667,8.70133333333333,9.38466666666667,6.134,7.24533333333333,4.668,38.2393333333333,7.528,2.21666666666667,6.20266666666667,5.18533333333333,2.358,4.72666666666667,2.14333333333333,16.356,64.1013333333333,16.932,11.3166666666667,6.25133333333333,19.3133333333333,12.6426666666667,70.478,4.23066666666667,4.41133333333333,5.99,10.0953333333333,2.84733333333333,77.4253333333333,1.798,15.102,2.14533333333333,2.50666666666667,2.624,2.248,64.6646666666667,2.03866666666667,8.79133333333333,7.76266666666667,2.754,1.20533333333333,16.7893333333333,49.6286666666667,12.518,6.38466666666667,6.858,5.77533333333333,12.57,4.51866666666667,6.90933333333333,38.458,55.1286666666667,6.53466666666667,2.828,14.0986666666667,10.2513333333333,8.48666666666667,41.002,3.67933333333333,5.77666666666667,3.66666666666667,4.17066666666667,2.816,27.238,2.52,1.88733333333333,2.73,4.032,3.396,42.1413333333333,6.37,6.122,14.5653333333333,7.57466666666667,14.604,55.786,2.588,2.036,1.976,14.4526666666667,1.70133333333333,31.0213333333333,5.69133333333333,9.43266666666667,10.534,25.5633333333333,4.058,56.046,4.938,2.51866666666667,4.62333333333333,2.91066666666667,1.87133333333333,60.208,4.25733333333333,25.8413333333333,31.4206666666667,8.89333333333333,3,5.514,17.3186666666667,2.86933333333333,1.88933333333333,11.2826666666667,2.33533333333333,1.92666666666667,3.03933333333333,13.9886666666667,7.368,30.7906666666667,26.7433333333333,8.454,10.818,9.13,9.73466666666667,15.692,13.8473333333333,25.3586666666667,11.3666666666667,3.00933333333333,11.1686666666667,5.444,56.722,11.6346666666667,19.4826666666667,7.38066666666667,11.7313333333333,15.18,43.4986666666667,1.808,2.232,1.17,1.72266666666667,1.36933333333333,31.6266666666667,4.86533333333333,7.50533333333333,5.078,6.35133333333333,4.428,3.60933333333333,9.314,5.88333333333333,4.88466666666667,1.986,4.5,3.17,36.5273333333333,1.532,7.392,1.116,2.02866666666667,2.43466666666667,24.1453333333333,3.33,4.45066666666667,41.344,7.50066666666667,12.6966666666667,21.5293333333333,19.124,3.69866666666667,2.98733333333333,3.91866666666667,3.83466666666667,4.312,50.6733333333333,3.33866666666667,1.146,12.0646666666667,1.806,1.266,16.356,3.48733333333333,42.9573333333333,4.922,15.652,5.24466666666667,52.4433333333333,3.84,4.40133333333333,5.27666666666667,4.18933333333333,2.47333333333333,11.68,19.668,4.888,23.3726666666667,3.18266666666667,10.3326666666667,7.70466666666667,28.0113333333333,3.576,16.2173333333333,3.05066666666667,41.0153333333333,10.1993333333333,9.05,10.3266666666667,2.23266666666667,23.166,23.6553333333333,0.398666666666667,0.456,0.448,0.355333333333333,12.3326666666667,28.9326666666667,6.316,3.65466666666667,5.922,12.048,4.70333333333333,43.2473333333333,6.096,3.176,5.388,5.238,2.562,55.5106666666667,10.5553333333333,8.48,11.8173333333333,5.01266666666667,3.33933333333333,38.9,3.19866666666667,4.03333333333333,4.51133333333333,3.26666666666667,3.69666666666667,5.32133333333333,15.6186666666667,36.7566666666667,36.0553333333333,6.704,8.64466666666667,9.786,6.05466666666667,9.90133333333333,38.6726666666667,7.748,6.536,6.15933333333333,5.52866666666667,8.75466666666667,29.314,2.83133333333333,4.882,3.93733333333333,4.41733333333333,5.39333333333333,25.234,37.0833333333333,25.086,20.054,15.8486666666667,12.162,58.7233333333333,4.61533333333333,13.66,7.22866666666667,14.92,10.7393333333333,8.62133333333333,16.2466666666667,30.72,58.032,2.52466666666667,42.7366666666667,3.35866666666667,3.29666666666667,7.78,9.75933333333333,58.5786666666667,6.62133333333333,2.21733333333333,4.48933333333333,2.23466666666667,1.668,76.2333333333333,4.75266666666667,2.89266666666667,3.52066666666667,11.9566666666667,2.13533333333333,42.4766666666667,9.02666666666667,9.03333333333333,9.84733333333333,10.5893333333333,3.88066666666667,54.0973333333333,4.77333333333333,2.808,1.58666666666667,2.65933333333333,1.25733333333333,54.4393333333333,48.81,1.20533333333333,2.242,1.514,7.82466666666667,54.138,6.93,1.94466666666667,6.84666666666667,5.15666666666667,5.69
T cell CD8+,0.25,0.11,0,0.08,0,0.2,0.21,0,0.44,0,0,0.53,0.44,2.97,0.25,0.72,0.22,0.28,1.19,1.64,0.95,0,0.23,0.45,0.34,0.64,1.19,0.19,2.05,1.06,1.81,0.46,1.6,8.28,2.06,3.96,1.28,0.11,0.68,6.19,0.38,0.84,0.87,2.07,0.5,0.11,0.39,3.04,0.54,0.13,0.2,0.45,0.33,0.22,0,0.42,0.64,1.69,0.46,0.31,5.95,4.28,0.2,2.55,5.2,4.4,4.32,0.11,3.35,2.98,1.41,5.08,0.51,1.04,1.43,7.49,1.57,4.05,0.89,0,1.68,0.73,0,0.14,0.57,0.59,0.12,0.15,4.24,0.68,2.53,1.77,1.94,0.87,1.97,1.45,0.32,0,0.53,0.43,8.77,0.9,2.08,3.92,2.3,0.16,3.62,1.25,2.3,5.65,4.01,0,0,0.41,0,0.78,1.63,1.91,0.47,1.24,0.44,2.6,0,1.74,1.69,0.13,2.66,1.58,1.49,0.73,0.01,5.41,0,0.48,1.45,0.74,0.94,0.16,0,0.25,0.45,0.78,0.84,0,0.09,0.2,0.09,0,0,0.24,0.09,0,0.59,0,0,0.41,0.7,0.13,0.73,0.15,0.94,2.98,0.43,7.72,0.24,0.41,1.22,0.64,2.42,1.33,0.87,0,0,0.18,0.3,0.72,0.71,1.07,7.85,0.89,0.64,1.27,2.21,1.44,0.42,0.64,0.55,0.68,1.08,0.45,0.28,0.78,1.32,2.15,0.93,0.92,0.44,1.13,0.65,0.08,0.97,0.19,0,0,0.32,1.23,2.55,2,4.82,2.09,3.28,0.49,0.21,0.34,0.15,0.5,0.38,0.14,0.23,0,0,0,0.34,0.57,0.74,0.54,0.88,0.46,0.22,0.95,0.45,0.96,0.77,1.08,1.09,0.53,0.26,2.24,1.85,0.76,1.54,0.23,0.39,0.8,0.43,0.6,0.11,0.87,0.33,0.58,1.63,0.53,0.6,0.51,0.7,0.29,1.08,0.33,0.38,0.37,0,0.49,0.23,0.27,0,5.26,0.29,0.69,0.21,0.69,1.31,0.22,0.33,1.03,0.38,0.34,0.48,0.01,0.12,0,2.51,0.87,0.21,0.42,1.29,1.38,0.38,4.44,0.47,0.47,0.47,1.19,0.52,1.82,0,0.43,0.14,0.78,0.32,0.38,0.22,0.14,0.31,4.09,15.17,0.11,5.18,1.95,9.48,7.34,2.62,0.37,0,0.58,0.11,0.45,0.02,3.5,0.42,1.29,0.76,0.27,0.35,1.07,1.06,0.56,0.12,0.25,0,0,0,1.1,1.52,0.64,0,2.33,0.44,2.01,3.91,0.14,0.11,1.77,0.24,0.33,0.84,0.15,1.51,1.07,0.36,1.22,0.24,0.93,1.77,0.11,0.34,0.63,0.52,1.22,1.38,5.29,1.31,2.08,0.81,1,0.59,1.76,0.31,0.33,0.17,0.47,0.35,0.28,0.53,0,0.56,0,0.24,0.14,0,0.95,0,0.13,0.49,0.17,0,1.24,0.9,0.34,0.11,1.06,0.09,1.83,0.47,0.3,2.41,0.49,0.89,0.09,0.87,0.69,1.06,0.43,0,0.64,0.6,0.61,0,1.96,0.43,0,0.26,0.1,0.55,0.68,0.96,0.27,1.77,0.55,3.32,0.13,0.09,0.42,0.1,0.43,0.1,0.25,0.19,1.49,0.82,0.87,0.8,0.09,0.2,0.28,0.01,0.13,0.14,0.05,0.4,0.22,0.71,0.42,0.25,0.68,3.09,0.24,0,0.1,0.1,0.22,1.18,0.36,0.55,0.86,0.88,0.33,1.34,1.51,0.33,0.74,0.29,0.97,2.64,0.13,5.69,1.25,0.5,4.52,2.18,25.78,5.59,5.94,0.12,0.21,0.25,0.01,0.29,0.11,0.23,2.31,0.29,1.72,0.68,1,1.72,0.74,1.27,1.02,0.11,0.74,1.62,0.35,0,0.34,0.01,0,0,0.2,0.15,0.57,0.51,0.11,0.64,3.02,0.48,0.15,0.81,0.11,0.21,0.71,0.16,0.11,0,0.22,0.27,0.19,1.01,0.29,1.16,1.91,3.22,0.41,0.12,0.13,0.73,0.33,0.12,0,0.61,1.07,0.91,1.79,0.63,1.73,0.63,3.83,1.33,3.92,0,0.24,1.03,3.88,0.33,0.3,1.35,0.9,0.18,0.49,0.42,0,3.51,0.4,0.63,0.15,0.77,2.24,0.46,2.18,1.46,0.13,0.14,0.45,0.34,1.18,0.47,0,0.75,0.54,0.1,0.16,0.58,0.31,0,0.14,0.21,0,0,1.22,0.43,7.54,0.58,0.36,2.05,0.42,0.11,0.11,1.01,0.34,1.3,1.02,2.13,0,0.29,0.22,0.47,0.11,0.33,3.95,1.07,1.15,1.36,1.46,0.01,0.44,3.85,0.38,0.42,2.18,1.27,3.22,2.77,0.84,0.59,0.64,0.31,0.58,1.53,1.17,0,0.99,0,0.52,0.36,0.31,0.83,0.41,1.35,0.46,0.19,0.1,0.78,2.73,0.97,0.58,2.06,0.83,1.75,0.61,0.52,0.42,0.45,0.1,0.63,0.4,0.16,0.32,0,0.11,1.3,0.82,0.4,1.29,0.83,1.05
